category,price,discount,quantity,payment_method,order_date,delivered_date,region,returned,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,delivery_days,age_group,return_probability,risk_score,risk_level
Home,164.08,0.15,1,Credit Card,23-12-2023,27-12-2023,West,0,139.47,7.88,31.17,60,Female,4,46-60,0.511343261,51.13,High
Grocery,24.73,0,1,Credit Card,03-04-2025,09-04-2025,South,0,24.73,4.6,-2.62,37,Male,6,36-45,0.02172286,2.17,Low
Electronics,175.58,0.05,1,Credit Card,08-10-2024,12-10-2024,North,0,166.8,6.58,13.44,34,Male,4,26-35,0.456531633,45.65,Medium
Electronics,63.67,0,1,UPI,14-09-2024,20-09-2024,South,0,63.67,5.5,2.14,21,Female,6,18-25,0.491279121,49.13,Medium
Home,16.33,0.15,1,COD,21-12-2024,27-12-2024,East,0,13.88,2.74,1.15,39,Male,6,36-45,0.354034404,35.4,Low
Beauty,53.91,0.1,2,Credit Card,14-04-2024,19-04-2024,South,0,97.04,6.32,37.35,35,Female,5,26-35,0.405879068,40.59,Medium
Electronics,266.5,0,1,PayPal,20-05-2025,25-05-2025,East,0,266.5,9.1,22.88,49,Male,5,46-60,0.56703991,56.7,High
Beauty,9.98,0,1,Credit Card,14-09-2023,18-09-2023,West,0,9.98,4.51,-0.02,66,Other,4,60+,0.430831918,43.08,Medium
Fashion,6.61,0.05,1,Debit Card,23-10-2023,29-10-2023,West,0,6.28,3.43,-1.23,37,Female,6,36-45,0.363620872,36.36,Medium
Grocery,10.91,0,1,Credit Card,31-10-2023,06-11-2023,South,0,10.91,2.76,-1.89,56,Male,6,46-60,0.098628025,9.86,Low
Beauty,6.61,0.1,1,Debit Card,07-02-2024,12-02-2024,South,0,5.95,2.16,0.52,40,Female,5,36-45,0.331531178,33.15,Low
Beauty,16.22,0,1,PayPal,08-07-2024,13-07-2024,South,0,16.22,3.72,3.58,21,Other,5,18-25,0.423932665,42.39,Medium
Grocery,10.56,0.1,1,Credit Card,13-10-2024,17-10-2024,West,0,9.5,4.99,-4.23,22,Female,4,18-25,0.068547029,6.85,Low
Toys,7.12,0,1,Debit Card,01-11-2023,06-11-2023,North,0,7.12,3.35,-0.5,56,Female,5,46-60,0.294857717,29.49,Low
Home,39.19,0,2,Credit Card,24-02-2025,27-02-2025,North,0,78.38,7.91,14.04,63,Male,3,60+,0.421752436,42.18,Medium
Home,12.63,0.2,4,Credit Card,03-05-2024,06-05-2024,North,0,40.42,6.19,5.13,36,Male,3,36-45,0.335556621,33.56,Low
Sports,96.61,0.05,1,PayPal,25-08-2024,29-08-2024,West,0,91.78,3.6,23.93,47,Male,4,46-60,0.355417461,35.54,Low
Fashion,16,0,3,PayPal,12-09-2024,17-09-2024,South,0,48,4.48,12.32,37,Male,5,36-45,0.505657038,50.57,High
Electronics,734.32,0,2,Wallet,20-06-2025,24-06-2025,South,0,1468.64,10.9,165.34,58,Female,4,46-60,0.496868539,49.69,Medium
Fashion,50.52,0,1,Credit Card,10-10-2024,13-10-2024,North,1,50.52,6.2,11.48,56,Male,3,46-60,0.581368979,58.14,High
Toys,17.99,0,2,PayPal,10-05-2024,14-05-2024,West,0,35.98,5.56,8.83,64,Female,4,60+,0.430818307,43.08,Medium
Fashion,39.54,0,1,COD,14-11-2024,20-11-2024,North,0,39.54,5.3,8.54,49,Other,6,46-60,0.57619278,57.62,High
Electronics,128.8,0,1,Debit Card,14-12-2024,18-12-2024,North,0,128.8,7.77,7.69,41,Female,4,36-45,0.483310456,48.33,Medium
Fashion,176.45,0,1,Debit Card,16-05-2025,23-05-2025,South,0,176.45,6.67,55.09,34,Male,7,26-35,0.496772881,49.68,Medium
Sports,345.57,0.15,2,Debit Card,16-04-2024,21-04-2024,Central,0,587.47,9.48,166.76,32,Female,5,26-35,0.324966025,32.5,Low
Beauty,12.49,0,3,UPI,31-08-2024,07-09-2024,East,0,37.47,5.46,11.4,49,Female,7,46-60,0.35851156,35.85,Low
Sports,157.21,0.15,1,Debit Card,26-08-2025,31-08-2025,South,0,133.63,6.75,33.34,20,Female,5,18-25,0.476003065,47.6,Medium
Fashion,11.24,0,2,Debit Card,19-08-2025,23-08-2025,West,0,22.48,6.09,1.78,60,Female,4,46-60,0.540850845,54.09,High
Grocery,20.97,0,2,PayPal,27-05-2024,02-06-2024,South,0,41.94,4.61,-1.25,61,Female,6,60+,0.088575702,8.86,Low
Home,54.42,0,2,UPI,11-10-2023,17-10-2023,East,0,108.84,8.05,22.43,36,Female,6,36-45,0.471880201,47.19,Medium
Home,54.93,0.15,1,Credit Card,12-11-2023,18-11-2023,South,0,46.69,5.74,7.33,44,Male,6,36-45,0.455901261,45.59,Medium
Grocery,10.32,0.15,1,Debit Card,08-04-2024,15-04-2024,East,0,8.77,1.24,-0.54,32,Male,7,26-35,0.062527496,6.25,Low
Grocery,7.56,0,1,Credit Card,30-12-2023,04-01-2024,North,0,7.56,2.06,-1.46,61,Female,5,60+,0.062081875,6.21,Low
Sports,22.33,0.05,1,Credit Card,06-08-2024,10-08-2024,South,0,21.21,4.26,2.1,26,Male,4,26-35,0.381864833,38.19,Medium
Grocery,12.84,0,2,Debit Card,08-08-2024,11-08-2024,North,0,25.68,6.32,-4.27,21,Female,3,18-25,0.104487947,10.45,Low
Beauty,8.89,0,2,Credit Card,04-04-2024,08-04-2024,South,0,17.78,4.78,3.22,19,Female,4,18-25,0.426177692,42.62,Medium
Fashion,33.9,0,2,Debit Card,27-05-2025,01-06-2025,South,0,67.8,4.98,18.75,28,Female,5,26-35,0.533764102,53.38,High
Fashion,17.92,0,1,Credit Card,10-07-2024,15-07-2024,West,0,17.92,5.86,0.41,28,Male,5,26-35,0.552262704,55.23,High
