category,price,discount,quantity,payment_method,order_date,delivered_date,region,returned,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,delivery_days,return_probability,risk_score,risk_level
Home,164.08,0.15,1,Credit Card,2023-12-23,2023-12-27,West,0,139.47,7.88,31.17,60,Female,4,0.5113432608678616,51.13,High
Electronics,266.5,0.0,1,PayPal,2025-05-20,2025-05-25,East,0,266.5,9.1,22.88,49,Male,5,0.5670399101731778,56.7,High
Fashion,16.0,0.0,3,PayPal,2024-09-12,2024-09-17,South,0,48.0,4.48,12.32,37,Male,5,0.5056570383326338,50.57,High
Fashion,50.52,0.0,1,Credit Card,2024-10-10,2024-10-13,North,1,50.52,6.2,11.48,56,Male,3,0.5813689792393043,58.14,High
Fashion,39.54,0.0,1,COD,2024-11-14,2024-11-20,North,0,39.54,5.3,8.54,49,Other,6,0.5761927803355689,57.62,High
Fashion,11.24,0.0,2,Debit Card,2025-08-19,2025-08-23,West,0,22.48,6.09,1.78,60,Female,4,0.540850844615624,54.09,High
Fashion,33.9,0.0,2,Debit Card,2025-05-27,2025-06-01,South,0,67.8,4.98,18.75,28,Female,5,0.5337641024326537,53.38,High
Fashion,17.92,0.0,1,Credit Card,2024-07-10,2024-07-15,West,0,17.92,5.86,0.41,28,Male,5,0.5522627035957267,55.23,High
Electronics,313.25,0.0,1,Debit Card,2024-09-27,2024-10-05,Central,0,313.25,8.96,28.63,53,Male,8,0.5020112500751318,50.2,High
Electronics,402.13,0.0,2,PayPal,2024-01-24,2024-01-29,South,0,804.26,9.93,86.58,40,Female,5,0.5375510882719813,53.76,High
Fashion,14.91,0.0,1,UPI,2024-12-01,2024-12-06,West,0,14.91,4.93,0.29,69,Male,5,0.5104605752507948,51.05,High
Electronics,368.67,0.0,1,Debit Card,2024-06-26,2024-07-02,West,0,368.67,9.91,34.33,36,Male,6,0.5522368549763823,55.22,High
Fashion,20.91,0.0,1,UPI,2024-02-14,2024-02-18,North,1,20.91,4.04,3.28,50,Male,4,0.6143874075593676,61.44,High
Fashion,16.18,0.0,2,Credit Card,2024-12-06,2024-12-10,South,0,32.36,4.73,6.6,69,Male,4,0.531844040978428,53.18,High
Fashion,26.06,0.05,3,COD,2023-12-21,2023-12-26,West,0,74.27,6.24,19.75,46,Other,5,0.5396587238199008,53.97,High
Fashion,137.66,0.0,1,UPI,2025-04-20,2025-04-24,South,0,137.66,7.01,41.17,50,Female,4,0.5672998474491275,56.73,High
Electronics,753.1,0.05,1,Debit Card,2024-06-08,2024-06-12,South,0,715.44,10.44,75.41,28,Male,4,0.633728469899725,63.37,High
Fashion,12.92,0.0,3,Wallet,2025-08-04,2025-08-08,South,0,38.76,6.83,6.74,20,Female,4,0.5123460307074444,51.23,High
Home,168.01,0.05,2,Debit Card,2024-01-20,2024-01-26,East,0,319.22,7.51,81.87,57,Male,6,0.5168136345720393,51.68,High
Fashion,22.26,0.0,1,Wallet,2025-02-22,2025-03-01,East,0,22.26,3.96,3.83,27,Male,7,0.5722157655046103,57.22,High
Sports,17.35,0.1,1,Debit Card,2025-02-25,2025-03-02,West,1,15.62,4.69,0.0,41,Male,5,0.5247643539081466,52.48,High
Home,101.74,0.0,2,Wallet,2024-06-08,2024-06-14,East,0,203.48,7.89,49.08,54,Female,6,0.5097286770283516,50.97,High
Fashion,61.89,0.05,1,COD,2025-01-21,2025-01-25,South,0,58.8,7.65,12.93,28,Male,4,0.5288336626996315,52.88,High
Fashion,13.88,0.0,1,Debit Card,2025-05-07,2025-05-11,South,0,13.88,5.31,-0.45,63,Male,4,0.5060373825094439,50.6,High
Fashion,118.71,0.0,1,COD,2025-02-04,2025-02-07,North,0,118.71,6.57,34.98,61,Female,3,0.5624997108003008,56.25,High
Electronics,537.39,0.15,1,PayPal,2024-02-16,2024-02-20,Central,1,456.78,9.4,45.41,28,Female,4,0.6045278880206625,60.45,High
